Code,Borough,2012/1/1
E09000001,City of London,"42,720"
E09000002,Barking and Dagenham,"20,120"
E09000003,Barnet,"29,480"
E09000004,Bexley,"25,490"
E09000005,Brent,"24,280"
E09000006,Bromley,"29,550"
E09000007,Camden,"31,300"
E09000008,Croydon,"26,450"
E09000009,Ealing,"27,160"
E09000010,Enfield,"25,100"
E09000011,Greenwich,"22,960"
E09000012,Hackney,"22,000"
E09000013,Hammersmith and Fulham,"30,550"
E09000014,Haringey,"24,780"
E09000015,Harrow,"28,630"
E09000016,Havering,"25,710"
E09000017,Hillingdon,"26,880"
E09000018,Hounslow,"26,550"
E09000019,Islington,"27,700"
E09000020,Kensington and Chelsea,"36,970"
E09000021,Kingston upon Thames,"31,370"
E09000022,Lambeth,"26,820"
E09000023,Lewisham,"24,410"
E09000024,Merton,"29,330"
E09000025,Newham,"17,950"
E09000026,Redbridge,"26,600"
E09000027,Richmond upon Thames,"36,080"
E09000028,Southwark,"25,030"
E09000029,Sutton,"27,510"
E09000030,Tower Hamlets,"23,040"
E09000031,Waltham Forest,"23,000"
E09000032,Wandsworth,"32,800"
E09000033,Westminster,"33,190"
